PLAYER_ID,PLAYER_NAME,draft_year,year5_season_start,year5_season_string,name_key_raw,macro_archetype,identity_drift_class,audit_note
2244,Jeff Trepagnier,2001,2005,2005-06,jeff trepagnier,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2219,Jeryl Sasser,2001,2005,2005-06,jeryl sasser,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2218,Joseph Forte,2001,2005,2005-06,joseph forte,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2208,Kedrick Brown,2001,2005,2005-06,kedrick brown,Low-Usage Interior Bigs,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2256,Ken Johnson,2001,2005,2005-06,ken johnson,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2261,Kenny Satterfield,2001,2005,2005-06,kenny satterfield,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2213,Kirk Haston,2001,2005,2005-06,kirk haston,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2241,Omar Cook,2001,2005,2005-06,omar cook,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2206,Rodney White,2001,2005,2005-06,rodney white,Perimeter Wings & Connectors,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2257,Ruben Boumtje-Boumtje,2001,2005,2005-06,ruben boumtje boumtje,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2253,Sean Lampley,2001,2005,2005-06,sean lampley,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2226,Will Solomon,2001,2005,2005-06,will solomon,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2423,Chris Jefferies,2002,2006,2006-07,chris jefferies,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2442,Chris Owens,2002,2006,2006-07,chris owens,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2451,Corsley Edwards,2002,2006,2006-07,corsley edwards,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2414,Curtis Borchardt,2002,2006,2006-07,curtis borchardt,Low-Usage Interior Bigs,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2436,Flip Murray,2002,2006,2006-07,flip murray,Perimeter Wings & Connectors,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2421,Frank Williams,2002,2006,2006-07,frank williams,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2398,Jay Williams,2002,2006,2006-07,jay williams,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2412,Jiri Welsch,2002,2006,2006-07,jiri welsch,Perimeter Wings & Connectors,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2437,Lonny Baxter,2002,2006,2006-07,lonny baxter,Low-Usage Interior Bigs,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2409,Marcus Haislip,2002,2006,2006-07,marcus haislip,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2401,Nikoloz Tskitishvili,2002,2006,2006-07,nikoloz tskitishvili,Fringe / Low-Opportunity Players,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2417,Qyntel Woods,2002,2006,2006-07,qyntel woods,Low-Usage Interior Bigs,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2450,Randy Holcomb,2002,2006,2006-07,randy holcomb,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2425,Robert Archibald,2002,2006,2006-07,robert archibald,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2415,Ryan Humphrey,2002,2006,2006-07,ryan humphrey,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2447,Tamar Slay,2002,2006,2006-07,tamar slay,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2432,Tito Maddox,2002,2006,2006-07,tito maddox,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2428,Vincent Yarbrough,2002,2006,2006-07,vincent yarbrough,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2601,Andreas Glyniadakis,2003,2007,2007-08,andreas glyniadakis,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2583,Derrick Zimmerman,2003,2007,2007-08,derrick zimmerman,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2591,James Lang,2003,2007,2007-08,james lang,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2602,Jerome Beasley,2003,2007,2007-08,jerome beasley,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2573,Maciej Lampe,2003,2007,2007-08,maciej lampe,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2552,Michael Sweetney,2003,2007,2007-08,michael sweetney,Low-Usage Interior Bigs,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2590,Mo Williams,2003,2007,2007-08,mo williams,High-Usage Primary Creators,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2569,Ndudi Ebi,2003,2007,2007-08,ndudi ebi,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2558,Reece Gaines,2003,2007,2007-08,reece gaines,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2562,Sasha Pavlovic,2003,2007,2007-08,sasha pavlovic,Perimeter Wings & Connectors,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2582,Slavko Vranes,2003,2007,2007-08,slavko vranes,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2580,Travis Hansen,2003,2007,2007-08,travis hansen,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2559,Troy Bell,2003,2007,2007-08,troy bell,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2560,Zarko Cabarkapa,2003,2007,2007-08,zarko cabarkapa,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2565,Zoran Planinic,2003,2007,2007-08,zoran planinic,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2765,Andre Emmett,2004,2008,2008-09,andre emmett,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2766,Antonio Burks,2004,2008,2008-09,antonio burks,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2774,Bernard Robinson,2004,2008,2008-09,bernard robinson,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2758,David Harrison,2004,2008,2008-09,david harrison,Low-Usage Interior Bigs,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2764,Donta Smith,2004,2008,2008-09,donta smith,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2775,Ha Ha,2004,2008,2008-09,ha ha,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2761,Jackson Vroman,2004,2008,2008-09,jackson vroman,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2735,Josh Childress,2004,2008,2008-09,josh childress,Scoring Bigs / Two-Way Forwards,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2745,Kirk Snyder,2004,2008,2008-09,kirk snyder,Perimeter Wings & Connectors,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2763,Lionel Chalmers,2004,2008,2008-09,lionel chalmers,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2784,Luis Flores,2004,2008,2008-09,luis flores,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2739,Luke Jackson,2004,2008,2008-09,luke jackson,Fringe / Low-Opportunity Players,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2782,Matt Freije,2004,2008,2008-09,matt freije,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2776,Pape Sow,2004,2008,2008-09,pape sow,Low-Usage Interior Bigs,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2750,Pavel Podkolzin,2004,2008,2008-09,pavel podkolzin,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2762,Peter John Ramos,2004,2008,2008-09,peter john ramos,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2737,Rafael Araujo,2004,2008,2008-09,rafael araujo,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2752,Sergei Monia,2004,2008,2008-09,sergei monia,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2779,Vassilis Spanoulis,2004,2008,2008-09,vassilis spanoulis,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2751,Viktor Khryapa,2004,2008,2008-09,viktor khryapa,Low-Usage Interior Bigs,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
101165,Alex Acker,2005,2009,2009-10,alex acker,Fringe / Low-Opportunity Players,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
101152,Bracey Wright,2005,2009,2009-10,bracey wright,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
101147,Chris Taft,2005,2009,2009-10,chris taft,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
101137,Daniel Ewing,2005,2009,2009-10,daniel ewing,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
101159,Dijon Thompson,2005,2009,2009-10,dijon thompson,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
101123,Gerald Green,2005,2009,2009-10,gerald green,Perimeter Wings & Connectors,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
101125,Julius Hodge,2005,2009,2009-10,julius hodge,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
101160,Lawrence Roberts,2005,2009,2009-10,lawrence roberts,Low-Usage Interior Bigs,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
101132,Linas Kleiza,2005,2009,2009-10,linas kleiza,Scoring Bigs / Two-Way Forwards,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
101149,Martynas Andriuskevicius,2005,2009,2009-10,martynas andriuskevicius,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
101148,Mile Ilic,2005,2009,2009-10,mile ilic,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
101158,Orien Greene,2005,2009,2009-10,orien greene,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
101119,Rashad McCants,2005,2009,2009-10,rashad mccants,Perimeter Wings & Connectors,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
101156,Robert Whaley,2005,2009,2009-10,robert whaley,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
101136,Salim Stoudamire,2005,2009,2009-10,salim stoudamire,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
101166,Uros Slokar,2005,2009,2009-10,uros slokar,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
101144,Von Wafer,2005,2009,2009-10,von wafer,Perimeter Wings & Connectors,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
101134,Wayne Simien,2005,2009,2009-10,wayne simien,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
101117,Yaroslav Korolev,2005,2009,2009-10,yaroslav korolev,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200747,Adam Morrison,2006,2010,2010-11,adam morrison,Perimeter Wings & Connectors,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
200792,Alexander Johnson,2006,2010,2010-11,alexander johnson,Low-Usage Interior Bigs,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200784,Bobby Jones,2006,2010,2010-11,bobby jones,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200759,Cedric Simmons,2006,2010,2010-11,cedric simmons,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200798,Cheikh Samb,2006,2010,2010-11,cheikh samb,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200806,Damir Markota,2006,2010,2010-11,damir markota,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200786,David Noel,2006,2010,2010-11,david noel,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200793,Dee Brown,2006,2010,2010-11,dee brown,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200799,Guillermo Diaz,2006,2010,2010-11,guillermo diaz,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200801,Hassan Adams,2006,2010,2010-11,hassan adams,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200788,James Augustine,2006,2010,2010-11,james augustine,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200778,James White,2006,2010,2010-11,james white,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200767,Josh Boone,2006,2010,2010-11,josh boone,Low-Usage Interior Bigs,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
200785,Kosta Perovic,2006,2010,2010-11,kosta perovic,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200790,Marcus Vinicius,2006,2010,2010-11,marcus vinicius,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200776,Mardy Collins,2006,2010,2010-11,mardy collins,Perimeter Wings & Connectors,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
200754,Mouhamed Sene,2006,2010,2010-11,mouhamed sene,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200762,Oleksiy Pecherov,2006,2010,2010-11,oleksiy pecherov,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200782,P.J. Tucker,2006,2010,2010-11,p j tucker,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200753,Patrick O'Bryant,2006,2010,2010-11,patrick obryant,Fringe / Low-Opportunity Players,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
200781,Paul Davis,2006,2010,2010-11,paul davis,Fringe / Low-Opportunity Players,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
200763,Quincy Douby,2006,2010,2010-11,quincy douby,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
200771,Sergio Rodriguez,2006,2010,2010-11,sergio rodriguez,Perimeter Wings & Connectors,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
200807,Will Blalock,2006,2010,2010-11,will blalock,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201166,Aaron Brooks,2007,2011,2011-12,aaron brooks,High-Usage Primary Creators,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
201151,Acie Law,2007,2011,2011-12,acie law,Perimeter Wings & Connectors,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
201154,Al Thornton,2007,2011,2011-12,al thornton,Scoring Bigs / Two-Way Forwards,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
201169,Alando Tucker,2007,2011,2011-12,alando tucker,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201181,Chris Richard,2007,2011,2011-12,chris richard,Low-Usage Interior Bigs,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201199,DJ Strawberry,2007,2011,2011-12,dj strawberry,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201193,Demetris Nichols,2007,2011,2011-12,demetris nichols,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201172,Gabe Pruitt,2007,2011,2011-12,gabe pruitt,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201191,JamesOn Curry,2007,2011,2011-12,jameson curry,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201159,Javaris Crittenton,2007,2011,2011-12,javaris crittenton,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201145,Jeff Green,2007,2011,2011-12,jeff green,Scoring Bigs / Two-Way Forwards,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
201176,Jermareo Davidson,2007,2011,2011-12,jermareo davidson,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201153,Julian Wright,2007,2011,2011-12,julian wright,Low-Usage Interior Bigs,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
201178,Kyrylo Fesenko,2007,2011,2011-12,kyrylo fesenko,Low-Usage Interior Bigs,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
201173,Marcus Williams,2007,2011,2011-12,marcus williams,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201165,Morris Almond,2007,2011,2011-12,morris almond,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201174,Nick Fazekas,2007,2011,2011-12,nick fazekas,Low-Usage Interior Bigs,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201186,Stephane Lasme,2007,2011,2011-12,stephane lasme,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201180,Sun Sun,2007,2011,2011-12,sun sun,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201192,Taurean Green,2007,2011,2011-12,taurean green,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201163,Wilson Chandler,2007,2011,2011-12,wilson chandler,Scoring Bigs / Two-Way Forwards,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
201582,Alexis Ajinca,2008,2012,2012-13,alexis ajinca,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201616,Darnell Jackson,2008,2012,2012-13,darnell jackson,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201611,Henry Walker,2008,2012,2012-13,henry walker,Perimeter Wings & Connectors,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
201592,J.R. Giddens,2008,2012,2012-13,j r giddens,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201570,Joe Alexander,2008,2012,2012-13,joe alexander,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201621,Joe Crawford,2008,2012,2012-13,joe crawford,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201595,Joey Dorsey,2008,2012,2012-13,joey dorsey,Low-Usage Interior Bigs,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201602,Kyle Weaver,2008,2012,2012-13,kyle weaver,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201612,Malik Hairston,2008,2012,2012-13,malik hairston,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201446,Mike Taylor,2008,2012,2012-13,mike taylor,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201605,Nathan Jawai,2008,2012,2012-13,nathan jawai,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201607,Patrick Ewing,2008,2012,2012-13,patrick ewing,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201606,Sean Singletary,2008,2012,2012-13,sean singletary,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201623,Semih Erden,2008,2012,2012-13,semih erden,Low-Usage Interior Bigs,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201603,Sonny Weems,2008,2012,2012-13,sonny weems,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201594,Walter Sharpe,2008,2012,2012-13,walter sharpe,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201957,Byron Mullens,2009,2013,2013-14,byron mullens,Low-Usage Interior Bigs,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
201963,Christian Eyenga,2009,2013,2013-14,christian eyenga,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201969,DaJuan Summers,2009,2013,2013-14,dajuan summers,Fringe / Low-Opportunity Players,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
201974,Derrick Brown,2009,2013,2013-14,derrick brown,Low-Usage Interior Bigs,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
201966,Jermaine Taylor,2009,2013,2013-14,jermaine taylor,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
